iter	MultiClass
0	0.9431942474
1	0.826810521
2	0.7358623409
3	0.6735747395
4	0.6407531914
5	0.5963196195
6	0.5690089273
7	0.5416117132
8	0.521776518
9	0.503898595
10	0.4867753246
11	0.4686435266
12	0.4550445174
13	0.4419629511
14	0.4317349604
15	0.4255369016
16	0.4058170814
17	0.3937422021
18	0.3861570188
19	0.3745937987
20	0.3671027532
21	0.3596771622
22	0.3527024633
23	0.342016059
24	0.3379799137
25	0.3303762315
26	0.3220527251
27	0.3166229925
28	0.3080740019
29	0.3039696882
30	0.2972996915
31	0.2927234248
32	0.2856827032
33	0.2807107399
34	0.275141077
35	0.2696472237
36	0.2650896476
37	0.261098168
38	0.2563656711
39	0.251116018
40	0.2455515321
41	0.2395198532
42	0.235123394
43	0.2292025968
44	0.2253855637
45	0.2210929138
46	0.215208423
47	0.2119231868
48	0.2070678425
49	0.2036307192
50	0.2004630615
51	0.1970512332
52	0.1938033899
53	0.191925075
54	0.1885687265
55	0.1872292029
56	0.184333353
57	0.1812543056
58	0.1785501991
59	0.176254041
60	0.1739127797
61	0.1719369943
62	0.1683766027
63	0.1658857059
64	0.1642670519
65	0.1619387712
66	0.1582316357
67	0.155530449
68	0.153425144
69	0.1516954055
70	0.149606441
71	0.1477664668
72	0.1456001745
73	0.1438961578
74	0.1416430413
75	0.1394213964
76	0.137461917
77	0.1353121071
78	0.1331317163
79	0.1313563911
80	0.1295583466
81	0.1284879712
82	0.1274591513
83	0.125797583
84	0.1241129216
85	0.1229300245
86	0.1218157029
87	0.1204255386
88	0.1191761049
89	0.1179153683
90	0.1168177276
91	0.1158398843
92	0.1141056187
93	0.1129153874
94	0.1120813166
95	0.1113701801
96	0.1105826578
97	0.1089870289
98	0.1075761546
99	0.1069127922
100	0.1057983125
101	0.1048973464
102	0.1042883851
103	0.1031240347
104	0.1019186263
105	0.1005642862
106	0.09980265008
107	0.09863204945
108	0.09701637568
109	0.09616726969
110	0.0953882011
111	0.09455336306
112	0.0935574536
113	0.09300666229
114	0.09197081245
115	0.09131569016
116	0.09035349991
117	0.08957087764
118	0.08901845189
119	0.0883599176
120	0.08754869467
121	0.08673909087
122	0.0862020651
123	0.0854861088
124	0.08482557014
125	0.08419255176
126	0.0831183962
127	0.08199877227
128	0.08118352378
129	0.08056723104
130	0.07981095452
131	0.07926139809
132	0.07857565595
133	0.07796294489
134	0.07741315319
135	0.07699024249
136	0.07614007804
137	0.07550439054
138	0.07495337212
139	0.07426584804
140	0.07360037723
141	0.07309568223
142	0.07239580011
143	0.07195784143
144	0.07134035279
145	0.07081916216
146	0.07011721692
147	0.06931508903
148	0.0688930978
149	0.06837842064
150	0.06782772231
151	0.06726620782
152	0.06661985388
153	0.06602195725
154	0.06529927624
155	0.06479119819
156	0.06440790068
157	0.0638757141
158	0.06353632664
159	0.06318479369
160	0.06280204559
161	0.06255811648
162	0.06211446039
163	0.06170523268
164	0.06123297078
165	0.06078644397
166	0.06029287315
167	0.05981631718
168	0.05927637254
169	0.05895687274
170	0.05861960475
171	0.05835111932
172	0.05797966546
173	0.05751771709
174	0.05706218208
175	0.05660248297
176	0.05620468237
177	0.05594334545
178	0.05552705708
179	0.05516431867
180	0.05480621798
181	0.05440107514
182	0.05401816277
183	0.05373472552
184	0.05345654097
185	0.05318023205
186	0.05297033784
187	0.05278287316
188	0.05259991981
189	0.05224078533
190	0.0519343044
191	0.05152725964
192	0.05109595627
193	0.05084667437
194	0.05064013249
195	0.05027701558
196	0.04992493782
197	0.04966557631
198	0.04941542083
199	0.0490999189
